ID,serving
1044681,3.0
1050191,1.0
1055232,1.0
1067896,2.0
1171235,1.0
1174318,3.0
1264625,1.0
1342890,4.0
1355000,1.0
1368347,3.0
1394974,0.5
1541758,1.0
1571170,0.5
1588038,2.0
1594533,0.5
1603018,1.0
1622754,1.0
1624526,1.0
1626940,1.0
1640363,1.0
1654553,4.0
1680123,1.0
1715765,1.0
1760547,2.0
1763854,1.0
1768646,0.5
1806097,0.5
1841971,1.0
1959322,1.0
2011053,2.0
2016535,2.0
2041890,1.0
2123841,1.0
2124058,1.0
2128467,2.0
2165880,1.0
2180067,1.0
2246855,1.0
2248082,2.0
2266999,2.0
2274388,1.0
2335770,1.0
2339700,2.0
2359496,4.0
2437256,2.0
2500312,0.5
2510815,2.0
2529066,0.5
2724442,2.0
2748822,2.0
2775458,0.5
2779506,1.0
2836349,2.0
2876036,1.0
2890161,1.0
2940616,2.0
3036976,2.0
3070167,1.0
3074114,2.0
3082972,4.0
3158287,0.5
3173558,1.0
3201636,1.0
3225118,1.0
3229537,1.0
3243188,1.0
3279673,0.5
3306859,3.0
3332116,3.0
3332893,1.0
3335529,2.0
3350069,0.5
3368195,1.0
3370381,2.0
3414587,4.0
3459415,1.0
3497647,1.0
3521319,1.0
3612307,2.0
3738608,0.5
3759532,0.5
3766944,0.5
3774816,1.0
3863173,1.0
3876175,1.0
3879054,2.0
3917897,1.0
3924989,2.0
3936503,1.0
3975062,2.0
4074301,4.0
4092438,2.0
4108999,3.0
4150333,1.0
4168589,0.5
4220675,1.0
4255697,2.0
4277976,0.5
4416648,1.0
4477746,2.0
4497293,4.0
4533970,3.0
4617782,1.0
4653430,1.0
4656719,1.0
4670764,1.0
4711472,1.0
4770826,1.0
4772882,0.5
4819093,2.0
4846938,1.0
4861770,3.0
4976130,2.0
4980912,2.0
5036095,3.0
5040582,1.0
5087405,2.0
5129949,2.0
5150253,1.0
5293895,0.5
5305893,3.0
5361413,2.0
5365226,2.0
5389646,4.0
5657020,1.0
5670561,2.0
5691724,1.0
5692129,2.0
5710380,1.0
5787491,1.0
5837019,2.0
5840739,2.0
5847018,1.0
5877308,0.5
5901408,2.0
5908273,2.0
5928019,1.0
5964207,1.0
