ID,serving
1170105,1.0
1295154,1.0
1320356,2.0
1360344,1.0
1367089,2.0
1367531,1.0
1392269,1.0
1452118,1.0
1482692,1.0
1509758,1.0
1561182,1.0
1568855,1.0
1586182,1.0
1606373,1.0
1613666,2.0
1616085,2.0
1685595,1.0
1700576,1.0
1772675,2.0
1790247,1.0
1863380,1.0
1891607,1.0
2030003,0.5
2035092,2.0
2062351,1.0
2069470,0.5
2084184,2.0
2125293,1.0
2132270,1.0
2134931,1.0
2174412,2.0
2198968,1.0
2339909,2.0
2343331,1.0
2498330,1.0
2574362,1.0
2669633,1.0
2672707,1.0
2702764,1.0
2813877,1.0
2825125,1.0
2865530,1.0
2915366,1.0
2926552,2.0
2977803,1.0
2990987,1.0
3026044,1.0
3027986,2.0
3089219,1.0
3092751,2.0
3253626,2.0
3259396,1.0
3264286,3.0
3443194,2.0
3450806,1.0
3496274,1.0
3522929,2.0
3536318,2.0
3671793,1.0
3680159,1.0
3729294,1.0
3734999,1.0
3785096,1.0
3885220,1.0
3928267,2.0
3991613,1.0
4033877,2.0
4191667,1.0
4250005,1.0
4309822,1.0
4379712,1.0
4427900,1.0
4478983,1.0
4503878,1.0
4647800,1.0
4679355,1.0
4686599,1.0
4747868,0.5
4793850,1.0
4887797,1.0
5038865,1.0
5070426,1.0
5146670,1.0
5150122,1.0
5205597,1.0
5271143,1.0
5272556,1.0
5274835,1.0
5280777,1.0
5296282,1.0
5336802,1.0
5496852,1.0
5564307,1.0
5578849,1.0
5650857,3.0
5661467,1.0
5671932,1.0
5910339,1.0
