ID,serving
1003509,1.0
1029112,1.0
1031705,2.0
1044730,1.0
1050177,1.0
1059025,1.0
1073387,1.0
1077990,1.0
1093864,1.0
1111291,1.0
1143261,1.0
1158766,1.0
1159238,1.0
1177430,1.0
1191698,0.5
1210072,0.5
1266183,1.0
1300198,0.25
1313410,1.0
1339470,0.25
1342148,1.0
1361590,1.0
1370519,1.0
1390796,1.0
1400855,1.0
1409216,2.0
1451156,1.0
1460581,1.0
1479944,1.0
1508527,1.0
1513343,1.0
1545767,2.0
1568364,1.0
1615293,1.0
1626859,1.0
1653668,1.0
1654521,1.0
1659618,1.0
1672839,1.0
1682437,1.0
1711897,1.0
1767843,1.0
1797449,1.0
1802963,3.0
1821161,1.0
1823972,1.0
1848358,0.5
1851063,2.0
1854200,1.0
1858692,1.0
1862288,1.0
1877718,1.0
1884451,1.0
1891957,1.0
1902425,1.0
1914480,1.0
1986928,0.5
1994913,1.0
1998526,1.0
2009558,0.25
2009825,1.0
2015647,1.0
2036127,1.0
2039388,1.0
2072961,1.0
2084436,1.0
2109523,1.0
2156150,1.0
2177491,1.0
2178145,1.0
2217247,1.0
2228058,2.0
2252542,3.0
2275145,1.0
2280843,0.5
2285900,1.0
2314031,1.0
2340201,1.0
2340398,1.0
2347715,1.0
2385030,1.0
2388652,1.0
2435775,1.0
2443067,1.0
2459301,1.0
2514016,0.5
2514280,1.0
2568536,2.0
2602693,1.0
2614108,1.0
2628668,2.0
2663644,2.0
2678888,1.0
2722537,1.0
2723307,1.0
2726233,1.0
2738266,1.0
2749105,1.0
2752285,1.0
2757963,1.0
2763932,0.25
2765196,1.0
2790392,2.0
2794771,1.0
2798817,0.5
2830937,0.25
2855477,1.0
2856024,1.0
2858313,1.0
2873328,0.25
2894693,1.0
2898757,0.5
2907882,1.0
2941946,1.0
2961156,1.0
2985914,1.0
2991966,1.0
3007389,1.0
3039454,1.0
3055379,1.0
3056672,1.0
3090571,1.0
3113171,2.0
3130932,1.0
3155132,1.0
3156867,1.0
3183241,1.0
3201943,1.0
3205530,0.5
3237569,1.0
3244631,1.0
3258522,1.0
3261471,0.5
3267061,0.5
3304835,0.5
3307856,1.0
3311323,1.0
3314680,1.0
3366074,1.0
3420805,1.0
3445628,1.0
3468094,1.0
3520034,0.25
3533867,1.0
3536397,1.0
3542782,1.0
3582838,1.0
3587928,1.0
3603823,1.0
3615933,2.0
3632101,0.5
3637523,1.0
3675216,2.0
3676589,1.0
3686104,1.0
3697917,1.0
3723580,1.0
3738686,1.0
3747157,1.0
3833851,0.5
3837563,1.0
3886380,1.0
3905748,1.0
3980642,1.0
4020186,1.0
4052640,1.0
4053829,1.0
4062099,0.5
4065746,1.0
4170342,2.0
4186392,1.0
4187880,1.0
4268322,1.0
4287989,1.0
4296252,1.0
4303040,1.0
4312420,1.0
4321320,1.0
4326738,1.0
4361110,1.0
4372968,1.0
4373311,1.0
4395439,1.0
4436035,1.0
4450126,0.25
4475456,1.0
4475618,1.0
4488977,1.0
4531499,1.0
4534840,0.5
4557587,0.25
4580818,2.0
4599807,2.0
4601472,0.5
4607843,1.0
4636282,1.0
4637506,1.0
4653426,0.5
4656917,1.0
4658908,1.0
4660008,1.0
4669428,1.0
4681864,1.0
4692411,0.5
4703239,1.0
4709184,1.0
4734464,1.0
4792859,1.0
4806873,1.0
4812489,1.0
4823904,1.0
4828197,1.0
4833766,1.0
4839414,1.0
4854422,1.0
4899578,1.0
4933386,1.0
4964877,1.0
4968392,1.0
4981382,0.5
4985298,1.0
5010658,1.0
5021309,1.0
5047487,1.0
5068381,1.0
5098573,1.0
5101978,1.0
5109132,1.0
5116366,1.0
5118390,0.5
5133300,0.25
5133711,1.0
5141049,1.0
5154566,1.0
5167235,1.0
5174926,0.5
5238347,0.5
5267259,1.0
5273030,0.5
5303399,1.0
5325495,1.0
5331637,2.0
5363259,2.0
5366997,1.0
5372978,1.0
5401611,1.0
5432174,1.0
5463906,1.0
5468702,1.0
5485052,1.0
5502197,1.0
5504367,0.5
5545285,1.0
5596385,1.0
5599263,1.0
5600870,0.25
5601445,1.0
5616234,1.0
5624081,0.5
5631802,1.0
5659323,0.25
5688742,0.25
5700449,1.0
5723422,0.5
5723844,1.0
5723983,1.0
5730723,1.0
5741850,2.0
5748478,1.0
5829497,1.0
5855077,2.0
5879398,1.0
5890727,1.0
5892612,1.0
5894812,1.0
5913615,1.0
5931476,1.0
5934689,1.0
5935804,1.0
5945097,2.0
5952414,1.0
5963801,1.0
5987087,2.0
6007695,0.5
6010756,1.0
6011770,1.0
