ID,serving
1014525,1.0
1034207,1.0
1087567,1.0
1113022,1.0
1120829,0.5
1165377,1.0
1171854,1.0
1218572,1.0
1220773,1.0
1252773,1.0
1256436,1.0
1262225,2.0
1265033,1.0
1272676,1.0
1299887,1.0
1319028,1.0
1324154,1.0
1352286,0.5
1360636,1.0
1371595,1.0
1391194,1.0
1406988,1.0
1407097,1.0
1410779,1.0
1425147,1.0
1453868,1.0
1478680,1.0
1485357,1.0
1486086,1.0
1510094,3.0
1512376,1.0
1538220,1.0
1561453,1.0
1598222,1.0
1615095,1.0
1646258,1.0
1662353,1.0
1672235,1.0
1694527,1.0
1695513,1.0
1724792,1.0
1759104,1.0
1770517,1.0
1790603,0.25
1794177,1.0
1817125,0.5
1817652,1.0
1916815,1.0
1957210,1.0
1968076,0.25
1981159,1.0
1982008,1.0
1993604,1.0
1994690,0.5
2016830,0.25
2024128,1.0
2050552,1.0
2057147,2.0
2069111,1.0
2084234,1.0
2155729,1.0
2157805,1.0
2160555,1.0
2195013,1.0
2208314,1.0
2231427,1.0
2254075,1.0
2258458,1.0
2292781,2.0
2296238,2.0
2345773,1.0
2382374,1.0
2397432,0.5
2404609,1.0
2461200,1.0
2497149,1.0
2500057,2.0
2557155,1.0
2581729,1.0
2617002,1.0
2621597,1.0
2633799,0.5
2637281,1.0
2649565,1.0
2666014,1.0
2672361,1.0
2724956,1.0
2789480,1.0
2809562,1.0
2844995,1.0
2918551,0.5
2923966,1.0
2939508,1.0
2951060,1.0
2962171,1.0
2976342,1.0
2982262,0.25
3012793,0.5
3078875,1.0
3108948,1.0
3146039,1.0
3184160,1.0
3233033,0.5
3305833,0.5
3318401,2.0
3323273,1.0
3327170,3.0
3333790,2.0
3345697,2.0
3360883,1.0
3367917,1.0
3369638,1.0
3444850,1.0
3448222,1.0
3451802,1.0
3457286,1.0
3472796,1.0
3487344,1.0
3501261,1.0
3502234,1.0
3503125,1.0
3552519,0.25
3573485,0.5
3580259,1.0
3609224,2.0
3615809,1.0
3647347,1.0
3676922,1.0
3694716,0.25
3703940,0.5
3705174,2.0
3779407,0.25
3787507,3.0
3817220,2.0
3930360,1.0
3942455,1.0
3973910,0.5
4015490,1.0
4016740,1.0
4043963,1.0
4064433,0.5
4072774,0.25
4109341,1.0
4138804,3.0
4141325,2.0
4181440,0.25
4218589,1.0
4218897,1.0
4248655,1.0
4256024,1.0
4257487,1.0
4272269,1.0
4286316,1.0
4341822,1.0
4343112,0.5
4373055,1.0
4382870,1.0
4397206,1.0
4418400,0.5
4420730,1.0
4435399,1.0
4461845,1.0
4480069,0.5
4528371,1.0
4628006,1.0
4631889,1.0
4635547,1.0
4671699,1.0
4675625,1.0
4684724,1.0
4706354,3.0
4880984,1.0
4893447,1.0
4904215,1.0
4913251,1.0
4922771,1.0
4941634,1.0
5008060,1.0
5017065,2.0
5076646,0.5
5088333,1.0
5138478,0.5
5186639,1.0
5199473,1.0
5229881,1.0
5264784,2.0
5267340,0.5
5309760,1.0
5363082,2.0
5367782,1.0
5370748,3.0
5431825,1.0
5439080,0.25
5483290,1.0
5485334,1.0
5543241,1.0
5546979,2.0
5569216,0.25
5631010,1.0
5671904,1.0
5680067,0.5
5708673,1.0
5709684,2.0
5744241,1.0
5770088,2.0
5781493,0.5
5816299,1.0
5820658,0.5
5833756,2.0
5865360,1.0
5879037,1.0
5952735,1.0
5980437,0.5
