ID,serving
1104930,0.5
1154617,2.0
1160830,1.0
1175781,3.0
1227700,1.0
1299041,2.0
1327956,2.0
1332990,0.5
1368438,0.5
1375256,1.0
1428976,1.0
1452040,1.0
1496624,1.0
1497052,1.0
1512546,2.0
1544087,1.0
1590377,0.5
1639636,0.5
1682090,4.0
1716715,1.0
1751298,2.0
1763185,1.0
1772851,1.0
1854216,1.0
1909128,1.0
1950515,1.0
1961639,1.0
1963880,1.0
1972595,1.0
2022332,0.5
2028499,1.0
2064490,1.0
2078536,1.0
2094229,1.0
2100011,1.0
2122004,1.0
2153133,1.0
2181780,3.0
2219703,1.0
2221146,2.0
2296112,1.0
2302505,0.5
2384597,1.0
2403191,0.5
2438476,1.0
2445421,2.0
2467903,2.0
2482755,1.0
2505734,1.0
2525445,2.0
2530920,1.0
2556275,1.0
2558239,0.5
2603313,1.0
2671506,0.5
2704966,0.5
2727479,0.5
2732404,2.0
2739678,1.0
2809628,1.0
2871618,0.5
2936079,1.0
2939123,0.5
2962252,1.0
3001616,2.0
3046209,1.0
3046521,2.0
3058056,1.0
3060875,2.0
3077517,1.0
3084807,0.5
3088616,2.0
3110785,1.0
3154780,2.0
3205193,2.0
3238907,1.0
3305305,1.0
3351943,1.0
3360263,1.0
3388968,0.5
3417550,1.0
3492845,0.5
3531328,2.0
3589513,1.0
3590137,1.0
3595870,1.0
3617170,2.0
3638984,2.0
3652693,1.0
3681257,1.0
3715605,2.0
3718417,1.0
3764362,1.0
3783329,3.0
3783941,1.0
3785558,3.0
3801102,1.0
3817417,0.5
3832466,1.0
3846993,4.0
3862481,1.0
3922055,2.0
3963223,0.5
3967165,2.0
3996147,1.0
4027506,1.0
4070379,1.0
4141040,1.0
4202831,1.0
4253665,2.0
4280136,1.0
4286468,1.0
4317042,0.5
4343627,0.5
4511124,1.0
4562569,4.0
4588013,1.0
4597725,1.0
4626010,1.0
4627416,1.0
4628403,1.0
4699339,1.0
4717319,1.0
4792886,4.0
4796674,1.0
4806570,2.0
4818016,0.5
4821006,0.5
4825417,1.0
4827845,1.0
4831413,2.0
4835531,1.0
4848608,2.0
4850894,1.0
4854377,2.0
4866532,1.0
4924352,2.0
4932733,2.0
4935207,3.0
4949686,0.5
4991201,2.0
5038828,1.0
5097520,1.0
5151024,0.5
5180106,1.0
5183294,2.0
5217320,1.0
5279474,4.0
5378458,1.0
5417144,1.0
5472118,3.0
5550420,2.0
5569033,2.0
5569509,0.5
5569527,2.0
5582760,2.0
5586853,1.0
5603069,0.5
5624498,1.0
5789547,1.0
5795335,3.0
5815078,1.0
5846827,1.0
5860505,0.5
5891009,0.5
5928214,1.0
5986615,2.0
5990465,2.0
