ID,serving
1129389,1.0
1277751,1.0
1349453,0.5
1382876,1.0
1413948,1.0
1445077,0.5
1676851,0.5
1682651,2.0
1692271,2.0
1879956,1.0
1913654,0.5
1913729,1.0
1920689,0.5
2037460,1.0
2040625,1.0
2231904,0.5
2264071,3.0
2275813,1.0
2341996,2.0
2364892,0.5
2628989,0.5
2690541,2.0
2721543,1.0
2783256,1.0
2887280,1.0
2925499,1.0
2938221,0.5
3005011,1.0
3028930,1.0
3116282,1.0
3161089,1.0
3265326,1.0
3293184,1.0
3300015,4.0
3474926,1.0
3478018,0.5
3502956,1.0
3642971,1.0
3793998,0.5
3805413,0.5
3867382,2.0
3968567,1.0
4053833,0.5
4081500,1.0
4220097,0.5
4356193,0.5
4452580,1.0
4533744,1.0
4667254,1.0
4912740,1.0
4932255,0.5
4939351,0.5
4980459,1.0
4982829,1.0
4989214,1.0
5129630,1.0
5166878,1.0
5210495,1.0
5219292,1.0
5228976,1.0
5362615,0.5
5376970,1.0
5411705,0.5
5489218,0.5
5655470,1.0
5664051,0.5
5694568,2.0
5879344,0.5
5973054,1.0
6017367,1.0
6021710,3.0
