ID,serving
1018830,1.0
1026653,1.0
1136294,0.5
1154808,1.0
1156644,1.0
1242617,1.0
1243392,1.0
1278974,2.0
1327184,2.0
1330767,1.0
1364527,2.0
1383904,2.0
1399071,2.0
1440385,1.0
1472101,1.0
1474887,2.0
1493944,1.0
1541685,1.0
1620487,2.0
1628666,0.5
1664334,1.0
1776157,1.0
1797917,1.0
1821911,1.0
1954145,1.0
1979388,1.0
1987763,1.0
2016351,1.0
2029302,1.0
2061976,2.0
2079429,1.0
2093166,2.0
2099678,1.0
2166340,1.0
2214671,1.0
2251112,0.5
2349345,1.0
2358338,2.0
2363167,2.0
2393260,1.0
2423005,1.0
2483151,4.0
2504381,1.0
2541392,1.0
2601947,3.0
2669816,1.0
2682067,1.0
2689102,2.0
2698530,1.0
2703372,1.0
2708026,1.0
2712490,1.0
2721341,0.5
2725952,1.0
2758778,3.0
2971857,1.0
3070761,0.5
3090129,1.0
3090910,1.0
3096437,2.0
3207144,3.0
3282858,1.0
3332084,1.0
3379357,2.0
3416951,1.0
3444885,1.0
3469115,0.5
3499664,1.0
3513272,2.0
3532015,1.0
3578628,0.5
3626039,1.0
3633203,0.5
3676698,1.0
3682012,1.0
3720709,1.0
3820340,0.5
3864320,1.0
3915496,2.0
3988829,1.0
4020014,1.0
4047875,1.0
4096183,1.0
4106436,2.0
4194769,4.0
4196160,1.0
4229109,1.0
4301441,1.0
4319975,1.0
4329812,1.0
4472217,2.0
4493747,0.5
4525167,1.0
4576192,1.0
4587643,1.0
4764431,2.0
4770131,2.0
4771889,2.0
4808513,1.0
4825188,1.0
4845405,1.0
4988039,1.0
5016377,1.0
5019345,0.5
5026299,1.0
5085987,1.0
5167346,1.0
5192812,2.0
5208496,1.0
5255899,1.0
5390856,1.0
5558534,3.0
5564455,1.0
5623564,1.0
5659827,0.5
5701019,1.0
5793130,1.0
5805240,1.0
5827916,1.0
5911204,2.0
