ID,serving
1002661,1.0
1151252,0.5
1269482,1.0
1323882,0.5
1363714,1.0
1427402,1.0
1549642,1.0
1586036,2.0
1597184,1.0
1602830,3.0
1774062,2.0
1830224,2.0
1890251,1.0
1893249,3.0
1926964,1.0
1998041,3.0
2042269,1.0
2076654,1.0
2080276,2.0
2203099,1.0
2217197,1.0
2292205,2.0
2296784,1.0
2341318,1.0
2427705,1.0
2510827,2.0
2518612,0.5
2519201,0.5
2538250,1.0
2614466,1.0
2616740,1.0
2623962,1.0
2645722,1.0
2749111,1.0
2760463,1.0
2832070,1.0
2933371,1.0
2964182,2.0
2979174,1.0
2999815,1.0
3022961,1.0
3041690,1.0
3047841,1.0
3060130,1.0
3130843,2.0
3271591,1.0
3295019,1.0
3312808,1.0
3524962,1.0
3544041,1.0
3596838,2.0
3626547,1.0
3651200,1.0
3655325,1.0
3673449,1.0
3715453,1.0
3769184,2.0
3799498,1.0
3831315,2.0
3873513,2.0
3879800,1.0
3894285,1.0
4017254,1.0
4172265,2.0
4241973,2.0
4297419,1.0
4365399,1.0
4388094,1.0
4444878,1.0
4473396,1.0
4536694,2.0
4636165,2.0
4708819,1.0
4729263,1.0
4743540,1.0
4809334,1.0
4924097,1.0
5040276,1.0
5098078,1.0
5103816,1.0
5135218,1.0
5175754,1.0
5205784,1.0
5238692,1.0
5275845,1.0
5350499,1.0
5351017,2.0
5528181,1.0
5663070,4.0
5668624,1.0
5768051,1.0
5831656,1.0
5922974,1.0
5983346,1.0
