ID,serving
1056480,1.0
1151838,1.0
1473099,2.0
1483878,1.0
1605864,1.0
1634932,0.25
1859471,2.0
2026509,1.0
2029047,2.0
2071884,1.0
2167065,1.0
2240047,0.5
2269397,1.0
2323892,0.5
2401370,2.0
2477492,1.0
2484692,1.0
2550439,1.0
2555679,1.0
2560308,1.0
2674320,1.0
2785172,3.0
2955622,1.0
3060788,1.0
3414990,1.0
3531210,1.0
3567237,2.0
3735342,0.5
3832020,1.0
3902211,1.0
4046627,0.5
4317626,1.0
4329002,1.0
4383120,1.0
4649249,0.5
4691587,1.0
4913556,0.5
5010335,2.0
5142508,1.0
5260655,3.0
5297005,1.0
5297198,1.0
5321175,1.0
5343364,1.0
5376993,1.0
5386666,1.0
5522692,2.0
5640131,1.0
5657069,0.25
5687667,1.0
5780896,2.0
5782638,1.0
5851298,1.0
5873878,0.5
5940204,1.0
5966495,1.0
