ID,serving
1040051,2.0
1062343,1.0
1071966,2.0
1133218,2.0
1140876,2.0
1212007,3.0
1343944,1.0
1364301,1.0
1490847,2.0
1523522,2.0
1540728,2.0
1725818,1.0
1748736,1.0
1762694,2.0
1777190,2.0
1812420,0.5
1861293,2.0
1862411,2.0
1977091,3.0
2050377,1.0
2075241,1.0
2160910,4.0
2175894,2.0
2181039,2.0
2227749,1.0
2345393,2.0
2361531,4.0
2515978,2.0
2583855,1.0
2587649,1.0
2657563,1.0
2734288,2.0
2746685,2.0
2753855,4.0
2775673,1.0
2817388,1.0
2832421,3.0
2864768,1.0
2927872,2.0
2947469,2.0
2991923,2.0
3020848,2.0
3149497,2.0
3150213,1.0
3166513,1.0
3251408,2.0
3281394,2.0
3305128,1.0
3403450,2.0
3486442,2.0
3584626,2.0
3680521,1.0
3686363,1.0
3721367,4.0
3726346,2.0
3751446,1.0
3805051,2.0
3834726,2.0
3841959,1.0
3846927,2.0
3885658,2.0
3960754,1.0
3963904,3.0
4015214,2.0
4103492,3.0
4121679,1.0
4134197,1.0
4134445,1.0
4153869,1.0
4183946,2.0
4206109,2.0
4239905,2.0
4274011,1.0
4296451,1.0
4311278,2.0
4312326,2.0
4359095,1.0
4471433,0.5
4544653,1.0
4632122,1.0
4655036,2.0
4737058,2.0
4827550,1.0
4915512,1.0
4934298,2.0
4942050,1.0
4951399,4.0
4966028,2.0
4979801,1.0
4997431,1.0
5045792,3.0
5056845,1.0
5087463,1.0
5093088,1.0
5223129,1.0
5266065,2.0
5292477,2.0
5368847,1.0
5407374,1.0
5426669,2.0
5465465,1.0
5480792,3.0
5499599,2.0
5513879,1.0
5527966,3.0
5573763,2.0
5581302,1.0
5613881,1.0
5634406,4.0
5648035,2.0
5685257,1.0
5693073,1.0
5727327,1.0
5755880,1.0
5832229,2.0
5839736,2.0
5966080,1.0
5976923,2.0
