ID,serving
1157042,1.0
1176701,1.0
1215448,1.0
1217646,1.0
1253408,2.0
1265301,1.0
1495578,1.0
1742386,1.0
1972583,1.0
2009963,2.0
2179688,1.0
2219899,1.0
2230495,1.0
2273044,1.0
2310329,1.0
2359846,2.0
2455022,1.0
2473056,2.0
2566520,1.0
2609023,3.0
2671431,1.0
2844224,1.0
2861107,2.0
2881495,3.0
3049898,1.0
3073252,1.0
3113149,1.0
3380271,0.5
3456247,1.0
3649854,2.0
3680826,1.0
3681269,1.0
3711977,2.0
3742238,3.0
3807117,1.0
3921900,1.0
4010994,1.0
4030205,1.0
4112538,2.0
4125827,1.0
4367188,2.0
4399357,2.0
4535276,1.0
4544169,1.0
4562105,1.0
4600082,1.0
4654013,2.0
4682394,1.0
4766106,1.0
4873253,2.0
4877147,2.0
5250328,1.0
5291555,0.5
5328185,2.0
5343157,1.0
5493565,2.0
5535816,4.0
5594448,1.0
5652476,2.0
5725155,3.0
5802683,1.0
5987458,1.0
6015786,1.0
