ID,serving
1064954,2.0
1110575,2.0
1114608,1.0
1165054,1.0
1223016,1.0
1455691,1.0
1702945,2.0
1729264,0.5
1729776,1.0
1810153,1.0
1879436,1.0
2415455,0.5
2476457,0.5
2489475,1.0
2527031,1.0
2538492,1.0
2544472,1.0
2566843,1.0
2569622,1.0
2572242,1.0
2607866,1.0
2657651,1.0
2727291,1.0
2739228,0.25
2794025,1.0
2825009,1.0
2891532,1.0
2970318,2.0
3057282,1.0
3125534,1.0
3200167,1.0
3212071,1.0
3260204,1.0
3294794,1.0
3314602,1.0
3362136,1.0
3398380,1.0
3512403,1.0
3578312,1.0
3590279,1.0
3734963,1.0
3743800,1.0
3932395,1.0
3965967,1.0
4458750,0.5
4474249,0.5
4521363,1.0
4617589,1.0
4639545,1.0
4791408,1.0
4869048,1.0
4899547,1.0
5045051,1.0
5105567,1.0
5169844,1.0
5179124,1.0
5366551,1.0
5399497,0.25
5414463,0.25
5461306,1.0
5507442,1.0
5577553,1.0
5625396,1.0
5626398,2.0
5658381,0.25
5728677,1.0
5893417,2.0
5898008,0.5
